<肖申克的救赎>
比尔·帕克斯顿 Bill Paxton,演员 Actor (饰 布罗克 Brock Lovett),泰坦尼克号,明日边缘,终结者
伯纳德·希尔 Bernard Hill,演员 Actor (饰 船长 Captain Edward James Smith),泰坦尼克号,指环王3：王者无敌,指环王2：双塔奇兵
大卫·沃纳 David Warner,演员 Actor (饰 斯派塞 Spicer Lovejoy),泰坦尼克号,9号秘事 第二季,决战猩球
维克多·加博 Victor Garber,演员 Actor (饰 托马斯 Thomas Andrews),泰坦尼克号,功夫熊猫2,逃离德黑兰
乔纳森·海德 Jonathan Hyde,演员 Actor (饰 布鲁斯 Bruce Ismay),泰坦尼克号,木乃伊,勇敢者的游戏
苏茜·爱米斯 Suzy Amis,演员 Actress (饰 丽兹 Lizzy Calvert),泰坦尼克号,非常嫌疑犯,零点爆破
刘易斯·阿伯内西 Lewis Abernathy,演员 Actor (饰 刘易斯 Lewis Bodine),泰坦尼克号,深渊幽灵,深海异形
尼古拉斯·卡斯柯恩 Nicholas Cascone,演员 Actor (饰 巴比 Bobby Buell),泰坦尼克号,终极斗士,白宫风云 第一季
阿那托利·萨加洛维奇 Anatoly M. Sagalevitch,演员 Actor (饰 阿纳托利 Anatoly Milkailavich),泰坦尼克号,深渊幽灵,深海异形
丹尼·努齐 Danny Nucci,演员 Actor/Actress (饰 法布里齐奥 Fabrizio),泰坦尼克号,勇闯夺命岛,豪斯医生 第一季
杰森·贝瑞 Jason Barry,演员 Actor (饰 汤米 Tommy Ryan),泰坦尼克号,行动目标希特勒,镜子面具
伊万·斯图尔特 Ewan Stewart,演员 Actor (饰 默多克 1st Officer Murdoch),泰坦尼克号,厨师、大盗、他的太太和她的情人,纯粹
艾恩·格拉法德 Ioan Gruffudd,演员 Actor (饰 洛 Fifth Officer Lowe),泰坦尼克号,黑鹰坠落,末日崩塌
乔纳森·菲利普斯 Jonny Phillips,演员 Actor/Actress (饰 莱特勒 2nd Officer Lightoller),泰坦尼克号,名利场,爱的边缘
马克·林赛·查普曼 Mark Lindsay Chapman,演员 Actor (饰 怀尔德 Chief Officer Wilde),泰坦尼克号,时间裂缝,海滩救护队 第一季
理查德·格拉翰 Richard Graham,演员 Actor (饰 舵手罗 Quartermaster Rowe),泰坦尼克号,魅影缝匠,纽约黑帮
保罗·布赖特威尔 Paul Brightwell,演员 Actor (饰 舵手希钦斯 Quartermaster Hichens),泰坦尼克号,Soho区惊魂夜,双面情人
艾瑞克·布里登 Eric Braeden,演员 Actor/Actress (饰 约翰·雅各·阿斯特 John Jacob Astor),泰坦尼克号,老爸老妈的浪漫史 第四季,贼巢
夏洛特·查顿 Charlotte Chatton,演员 Actress (饰 Madeleine Astor),泰坦尼克号,养鬼吃人4,摩斯探长 第一季
